Rank,Name,Genre,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
47,Super Mario 64,Platform,6.91,2.85,1.91,0.23,11.89
48,Gran Turismo 4,Racing,3.01,0.01,1.1,7.53,11.66
49,Super Mario Galaxy,Platform,6.16,3.4,1.2,0.76,11.52
50,Pokemon Omega Ruby/Pokemon Alpha Sapphire,Role-Playing,4.23,3.37,3.08,0.65,11.33
51,Super Mario Land 2: 6 Golden Coins,Adventure,6.16,2.04,2.69,0.29,11.18
52,Grand Theft Auto IV,Action,6.76,3.1,0.14,1.03,11.02
53,Gran Turismo,Racing,4.02,3.87,2.54,0.52,10.95
54,Super Mario 3D Land,Platform,4.89,2.99,2.13,0.78,10.79
55,Gran Turismo 5,Racing,2.96,4.88,0.81,2.12,10.77
56,Call of Duty: Modern Warfare 2,Shooter,4.99,3.69,0.38,1.63,10.69
57,Grand Theft Auto IV,Action,4.76,3.76,0.44,1.62,10.57
58,Super Mario All-Stars,Platform,5.99,2.15,2.12,0.29,10.55
59,Pokemon FireRed/Pokemon LeafGreen,Role-Playing,4.34,2.65,3.15,0.35,10.49
60,Super Mario 64,Platform,5.08,3.11,1.25,0.98,10.42
61,Just Dance 3,Misc,6.05,3.15,0,1.07,10.26
62,Call of Duty: Ghosts,Shooter,6.72,2.63,0.04,0.82,10.21
63,Halo: Reach,Shooter,7.03,1.98,0.08,0.78,9.88
64,Mario Kart 64,Racing,5.55,1.94,2.23,0.15,9.87
65,New Super Mario Bros. 2,Platform,3.66,3.07,2.47,0.63,9.82
66,Halo 4,Shooter,6.63,2.36,0.04,0.73,9.76
67,Final Fantasy VII,Role-Playing,3.01,2.47,3.28,0.96,9.72
68,Call of Duty: Ghosts,Shooter,4.09,3.73,0.38,1.38,9.59
69,Just Dance 2,Misc,5.84,2.89,0.01,0.78,9.52
70,Gran Turismo 2,Racing,3.88,3.42,1.69,0.5,9.49
71,Call of Duty 4: Modern Warfare,Shooter,5.91,2.38,0.13,0.9,9.32
72,Donkey Kong Country,Platform,4.36,1.71,3,0.23,9.3
73,Minecraft,Misc,5.58,2.83,0.02,0.77,9.2
74,Animal Crossing: New Leaf,Simulation,2.01,2.32,4.36,0.41,9.09
75,Mario Party DS,Misc,4.46,1.88,1.98,0.7,9.02
76,The Elder Scrolls V: Skyrim,Role-Playing,5.03,2.86,0.1,0.85,8.84
77,Super Mario Kart,Racing,3.54,1.24,3.81,0.18,8.76
78,FIFA 16,Sports,1.11,6.06,0.06,1.26,8.49
79,Wii Party,Misc,1.79,3.53,2.49,0.68,8.49
80,Halo 2,Shooter,6.82,1.53,0.05,0.08,8.49
81,Mario Party 8,Misc,3.81,2.3,1.58,0.73,8.42
82,Pokemon Black 2/Pokemon White 2,Role-Playing,2.91,1.86,3.14,0.43,8.33
83,FIFA Soccer 13,Action,1.06,5.05,0.13,2.01,8.24
84,The Sims 3,Simulation,0.98,6.42,0,0.71,8.11
85,GoldenEye 007,Shooter,5.8,2.01,0.13,0.15,8.09
86,Mario & Sonic at the Olympic Games,Sports,2.58,3.9,0.66,0.91,8.06
87,Final Fantasy X,Role-Playing,2.91,2.07,2.73,0.33,8.05
88,Final Fantasy VIII,Role-Playing,2.28,1.72,3.63,0.23,7.86
89,Pokémon Platinum Version,Role-Playing,2.82,1.78,2.69,0.55,7.84
90,Pac-Man,Puzzle,7.28,0.45,0,0.08,7.81
91,Grand Theft Auto: Liberty City Stories,Action,2.9,2.83,0.24,1.75,7.72
92,Super Mario Galaxy 2,Platform,3.66,2.42,0.98,0.64,7.69
93,Star Wars Battlefront (2015),Shooter,2.93,3.29,0.22,1.23,7.67
94,Call of Duty: Advanced Warfare,Shooter,2.8,3.3,0.14,1.37,7.6
95,The Legend of Zelda: Ocarina of Time,Action,4.1,1.89,1.45,0.16,7.6
96,Crash Bandicoot 2: Cortex Strikes Back,Platform,3.78,2.17,1.31,0.31,7.58
97,Super Mario Bros. 2,Platform,5.39,1.18,0.7,0.19,7.46
98,Super Smash Bros. for Wii U and 3DS,Fighting,3.24,1.35,2.42,0.43,7.45
99,Call of Duty: World at War,Shooter,4.79,1.9,0,0.69,7.37
100,Battlefield 3,Shooter,4.46,2.13,0.06,0.69,7.34
101,The Legend of Zelda: Twilight Princess,Action,3.83,2.19,0.6,0.7,7.31
102,Call of Duty: Black Ops 3,Shooter,4.52,2.09,0.01,0.67,7.3
103,Just Dance,Misc,3.51,3.03,0,0.73,7.27
104,Battlefield 3,Shooter,2.85,2.93,0.35,1.1,7.23
105,Need for Speed Underground,Racing,3.27,2.83,0.08,1.02,7.2
106,Tekken 3,Fighting,3.27,2.22,1.4,0.29,7.16
107,Crash Bandicoot 3: Warped,Platform,3.68,1.75,1.42,0.28,7.13
108,Super Smash Bros. Melee,Fighting,4.41,1.04,1.39,0.22,7.07
109,Mario Kart 8,Racing,3.13,2.07,1.27,0.49,6.96
110,Fallout 4,Role-Playing,2.47,3.15,0.24,1.1,6.96
111,Mario Kart: Double Dash!!,Racing,4.12,1.77,0.87,0.19,6.95
112,Just Dance 4,Misc,4.14,2.21,0,0.56,6.91
113,FIFA 14,Sports,0.78,4.32,0.07,1.73,6.9
114,Need for Speed Underground 2,Racing,2.71,3.02,0.08,1.09,6.9
115,Medal of Honor: Frontline,Shooter,2.93,2.75,0.17,0.99,6.83
116,Uncharted 3: Drake's Deception,Action,2.77,2.8,0.19,1.06,6.83
117,Crash Bandicoot,Platform,3.23,2.35,0.94,0.3,6.82
118,Zumba Fitness,Sports,3.5,2.64,0,0.67,6.81
119,Gears of War 2,Shooter,4.15,1.92,0.06,0.64,6.76
120,Uncharted 2: Among Thieves,Action,3.27,2.25,0.21,1,6.73
121,Call of Duty 4: Modern Warfare,Shooter,3.1,2.3,0.28,1.04,6.72
122,FIFA 12,Sports,0.84,4.32,0.11,1.42,6.69
123,Big Brain Academy,Misc,1.67,2.78,1.6,0.62,6.67
124,Red Dead Redemption,Action,2.79,2.61,0.17,1.03,6.6
125,FIFA 15,Sports,0.79,4.29,0.05,1.47,6.59
126,Donkey Kong Country Returns,Platform,3.25,1.84,1.03,0.47,6.59
127,The Elder Scrolls V: Skyrim,Role-Playing,2.55,2.71,0.25,1.05,6.56
128,The Legend of Zelda,Action,3.74,0.93,1.69,0.14,6.51
129,Assassin's Creed III,Action,2.64,2.56,0.16,1.14,6.5
130,Halo: Combat Evolved,Shooter,4.98,1.3,0.08,0.07,6.43
131,Pokémon Emerald Version,Role-Playing,2.57,1.58,2.06,0.21,6.41
132,Kingdom Hearts,Role-Playing,3.64,1.2,1.49,0.07,6.4
133,Pokémon Crystal Version,Role-Playing,2.55,1.56,1.29,0.99,6.39
134,Halo 3: ODST,Shooter,4.34,1.35,0.06,0.61,6.36
135,Red Dead Redemption,Action,3.7,1.97,0.09,0.57,6.34
136,Super Mario Sunshine,Platform,4.01,1.26,0.87,0.17,6.31
137,Street Fighter II: The World Warrior,Fighting,2.47,0.83,2.87,0.12,6.3
138,World of Warcraft,Role-Playing,0.07,6.21,0,0,6.28
139,Driver,Action,3.11,2.8,0.02,0.33,6.27
140,Kinect Sports,Sports,3.92,1.78,0.03,0.51,6.24
141,Gears of War 3,Shooter,4.05,1.62,0.07,0.49,6.24
142,Gears of War,Shooter,3.54,1.9,0.07,0.6,6.11
143,Metal Gear Solid 2: Sons of Liberty,Action,2.45,2.01,0.87,0.72,6.05
144,Sonic the Hedgehog 2,Platform,4.47,1.2,0.16,0.19,6.03
145,Metal Gear Solid 4: Guns of the Patriots,Action,2.63,1.74,0.83,0.83,6.03
146,Metal Gear Solid,Action,3.18,1.83,0.78,0.24,6.03
147,The Last of Us,Action,2.41,2.28,0.28,1.01,5.99
148,Final Fantasy XII,Role-Playing,1.88,0,2.33,1.74,5.95
149,LittleBigPlanet,Platform,2.8,2.05,0.17,0.9,5.92
150,Dragon Quest IX: Sentinels of the Starry Skies,Role-Playing,0.66,0.69,4.35,0.15,5.84
151,LEGO Star Wars: The Complete Saga,Action,3.66,1.63,0,0.53,5.83
152,Resident Evil 2,Action,1.88,1.47,2.02,0.45,5.82
153,Tekken 2,Fighting,2.26,1.89,1.36,0.23,5.74
154,Cooking Mama,Simulation,3.13,1.94,0.07,0.58,5.72
155,Destiny,Shooter,2.49,2.05,0.16,0.96,5.65
156,Tetris,Puzzle,2.97,0.69,1.81,0.11,5.58
157,Assassin's Creed II,Action,2.54,1.95,0.21,0.87,5.57
158,Super Smash Bros.,Fighting,2.95,0.6,1.97,0.04,5.55
